departamento,NRO.,MUNICIPIO,ENTIDAD,DIRECCIÓN,query_address,country,admin_area,lon,lat
TARIJA ,47,VILLAMONTES,Cooperativa de Ahorro y Crédito Abierta San Martín de Porres Ltda.,Av. Méndez Arcos esq. Av. Ingavi  B/San Fancisco Nro 702,Av. Méndez Arcos esq. Av. Ingavi  B/San Fancisco Nro 702 VILLAMONTES,BO,TARIJA ,-63.45807019999999,-21.2600046
TARIJA ,48,VILLAMONTES,"Cooperativa de Ahorro y Crédito Societaria ""San Francisco Solano"" RL.",A. Méndez Arcos entre calles Oruro y Potosí,A. Méndez Arcos entre calles Oruro y Potosí VILLAMONTES,BO,TARIJA ,-63.45573049999999,-21.2685474
TARIJA ,49,VILLAMONTES,CRECER IFD,C/Sargento Tejerina N°273 entre Avenida Heroes de Chaco y Cochabamba,C/Sargento Tejerina N°273 entre Avenida Heroes de Chaco y Cochabamba VILLAMONTES,BO,TARIJA ,-63.4687472,-21.2625144
TARIJA ,50,VILLAMONTES,FUBODE IFD,Calle Sargento Tejerina esquina Calle Cochabamba s/n,Calle Sargento Tejerina esquina Calle Cochabamba s/n VILLAMONTES,BO,TARIJA ,-63.46816020000001,-21.263976
TARIJA ,51,YACUIBA,Banco para el Fomento a Iniciativas Económicas S.A.,"Calle General Campero s/n, entre calles Santa Cruz y Comercio, Zona Central","Calle General Campero s/n, entre calles Santa Cruz y Comercio, Zona Central YACUIBA",BO,TARIJA ,-63.1397837,-17.7963859
TARIJA ,52,YACUIBA,Banco Prodem S.A.,AV. SANTA CRUZ S/N ENTRE SUCRE Y CREVAUX,AV. SANTA CRUZ S/N ENTRE SUCRE Y CREVAUX YACUIBA,BO,TARIJA ,-63.67649840000001,-22.010268
TARIJA ,53,YACUIBA,Banco Unión S.A.,"Campo Pajoso, carretera Yacuiba / Santa Cruz Km. 14","Campo Pajoso, carretera Yacuiba / Santa Cruz Km. 14 YACUIBA",BO,TARIJA ,-63.1560853,-17.8145819
TARIJA ,54,YACUIBA,Banco Unión S.A.,"Calle Santa Cruz N° 1734 entre las calles Campero y San Pedro, zona Central de la localidad de Yacuiba.","Calle Santa Cruz N° 1734 entre las calles Campero y San Pedro, zona Central de la localidad de Yacuiba. YACUIBA",BO,TARIJA ,-63.6775234,-22.0227557
TARIJA ,55,YACUIBA,Cooperativa de Ahorro y Crédito Abierta Educadores Gran Chaco R.L.,Calle Campero Nro. 140,Calle Campero Nro. 140 YACUIBA,BO,TARIJA ,-63.68309919999999,-22.015141
TARIJA ,56,YACUIBA,Cooperativa de Ahorro y Crédito Abierta Educadores Gran Chaco R.L.,"Calle Independencia entre calle Comercio y Avda. Santa Cruz, Interior Centro Comercial Mercado Lourdes.","Calle Independencia entre calle Comercio y Avda. Santa Cruz, Interior Centro Comercial Mercado Lourdes. YACUIBA",BO,TARIJA ,-63.6761312,-22.0112023
TARIJA ,57,YACUIBA,Cooperativa de Ahorro y Crédito Abierta Educadores Gran Chaco R.L.,Calle Avaroa II entre Calle Chañares y Calle ''A'',Calle Avaroa II entre Calle Chañares y Calle ''A'' YACUIBA,BO,TARIJA ,-63.6723003,-22.0053942
TARIJA ,58,YACUIBA,Cooperativa de Ahorro y Crédito Abierta Monseñor Félix Gainza Ltda.,Calle Santa Cruz s/n entre Campero y Sucre,Calle Santa Cruz s/n entre Campero y Sucre YACUIBA,BO,TARIJA ,-65.2592128,-19.035345
TARIJA ,59,YACUIBA,Cooperativa de Ahorro y Crédito Abierta San Martín de Porres Ltda.,CALLE SANTA CRUZ ESQ. CREVAUX,CALLE SANTA CRUZ ESQ. CREVAUX YACUIBA,BO,TARIJA ,-63.67907779999999,-22.014925
TARIJA ,60,YACUIBA,CRECER IFD,"C/Crevaux N°317, entre calles Santa Cruz y Comercio (Plaza Principal)","C/Crevaux N°317, entre calles Santa Cruz y Comercio (Plaza Principal) YACUIBA",BO,TARIJA ,-63.1560853,-17.8145819
TARIJA ,61,YACUIBA,FUBODE IFD,Calle Gral Campero entre Avaroa y Ballivian s/n,Calle Gral Campero entre Avaroa y Ballivian s/n YACUIBA,BO,TARIJA ,-63.6825165,-22.0153533
TARIJA ,62,Agencia Mercado Campesino,Banco PYME Ecofuturo S.A.,"Barrio Luis Pizarro,avenida Panamericana Nro. 2117,zona del Mercado Campesino.","Barrio Luis Pizarro,avenida Panamericana Nro. 2117,zona del Mercado Campesino. Agencia Mercado Campesino",BO,TARIJA ,NA,NA
TARIJA ,63,Agencia Central Tarija,Banco PYME Ecofuturo S.A.,"Calle General Trigo N 758 entre calles Bolívar e Ingavi, zona Central","Calle General Trigo N 758 entre calles Bolívar e Ingavi, zona Central Agencia Central Tarija",BO,TARIJA ,-64.7340115,-21.5322416
TARIJA ,64,Agencia Bermejo,Banco PYME Ecofuturo S.A.,Calle Ameller Nº 137 entre C. Barrientos y Chuquisaca,Calle Ameller Nº 137 entre C. Barrientos y Chuquisaca Agencia Bermejo,BO,TARIJA ,-64.1478236,-20.0249144
